rouge_1_f1,rouge_l_f1,bleu,meteor,bert_f1,emb_sim,faith,composite,embedding_model,query
0.23333333333333334,0.13333333333333333,0.04979584689777252,0.3568345323741008,0.579235315322876,0.7269034385681152,0.6948984742164612,0.4548507951785472,BAAI/bge-small-en-v1.5,Recommend a good fast charging USB-C cable under 300 rupees
0.20454545454545456,0.1590909090909091,0.023031934695380535,0.27544468624665025,0.5182931423187256,0.5278749465942383,0.6889421045780182,0.38402601812650283,BAAI/bge-small-en-v1.5,Which cable has the highest rating and supports 60W charging
0.2985074626865672,0.18905472636815918,0.01919306133348595,0.3275773195876288,0.5584983825683594,0.7135446667671204,0.8043473243713379,0.4625803844096133,BAAI/bge-small-en-v1.5,What is the best iPhone lightning cable in the list?
0.15646258503401358,0.12244897959183676,0.0307184301873962,0.2453002664201827,0.5291594862937927,0.6731134653091431,0.7771659612655639,0.41238720020618524,BAAI/bge-small-en-v1.5,Suggest me some good long lasting headphones
0.15498154981549817,0.11808118081180811,0.009755786855328633,0.278550392670157,0.525364100933075,0.5166060924530029,0.855332052707672,0.3902598596434236,sentence-transformers/all-MiniLM-L6-v2,Recommend a good fast charging USB-C cable under 300 rupees
0.3384615384615384,0.2153846153846154,0.029867390496386634,0.21812080536912754,0.5375436544418335,0.6414262056350708,0.712101137638092,0.42497074374090493,sentence-transformers/all-MiniLM-L6-v2,Which cable has the highest rating and supports 60W charging
0.23493975903614459,0.15662650602409642,0.02028075710707847,0.296805371552451,0.526376485824585,0.7263769507408142,0.8328430116176604,0.44585932071567475,sentence-transformers/all-MiniLM-L6-v2,What is the best iPhone lightning cable in the list?
0.20640569395017794,0.1637010676156584,0.007851556938671402,0.29393487447178734,0.5449960827827454,0.7076874375343323,0.7994178891181946,0.43961436013559113,sentence-transformers/all-MiniLM-L6-v2,Suggest me some good long lasting headphones
0.1875,0.125,0.006890912121385645,0.2234727583135392,0.5395353436470032,0.43275612592697144,0.8095714092254638,0.3678522069788609,BAAI/bge-base-en-v1.5,Recommend a good fast charging USB-C cable under 300 rupees
0.5846153846153846,0.4307692307692308,0.08956477647601291,0.3594805743243243,0.7250499129295349,0.9163294434547424,0.718726247549057,0.6008180170129495,BAAI/bge-base-en-v1.5,Which cable has the highest rating and supports 60W charging
0.29378531073446323,0.15819209039548024,0.013383352905196995,0.2958733013589129,0.5780972242355347,0.7164591550827026,0.8559481382369996,0.4643280215064751,BAAI/bge-base-en-v1.5,What is the best iPhone lightning cable in the list?
0.1362397820163488,0.07084468664850137,0.01564087538736207,0.23886376811594207,0.53598552942276,0.5426065325737,0.8106696486473084,0.3816867533577734,BAAI/bge-base-en-v1.5,Suggest me some good long lasting headphones
